item_id,forecastability_val,forecastability_std,forecastability_cat,season_strength_val,season_strength_std,season_strength_cat,trend_strength_val,trend_strength_std,trend_strength_cat,hurst_val,hurst_std,hurst_cat,cv_val,cv_std,cv_cat,missing_ratio_val,missing_ratio_std,missing_ratio_cat,cluster,group_name
108763,0.8705090386807853,0.2589819226384293,high,0.8324364235959664,0.3351271528080675,strong,0.9690073540336632,0.0619852919326736,strong,1.0,0.0,trending,0.3609557222323422,0.7219114444646838,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
104560,0.870310442373898,0.259379115252204,high,0.8884500625898235,0.2230998748203529,strong,0.9884551917239928,0.0230896165520143,strong,1.0,0.0,trending,0.0699760443837074,0.1399520887674144,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
104559,0.8642805193956342,0.2714389612087314,high,0.8519549001631657,0.2960901996736688,strong,0.98698234626937,0.0260353074612602,strong,1.0,0.0,trending,0.0792173386956689,0.1584346773913376,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
100398,0.859924951727654,0.187225338214698,high,0.810384960747373,0.2535912058702397,strong,0.9989856615195316,0.0019483068255046,strong,1.0,0.0,trending,0.3383623640474601,0.4180234315175276,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
109697,0.8581993898324054,0.2836012203351891,high,0.8359470361818693,0.3281059276362614,strong,0.9934160772354594,0.0131678455290811,strong,1.0,0.0,trending,0.1327149729948463,0.2654299459896922,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
100408,0.8551787548020162,0.1956874681917763,high,0.8454257372811727,0.2515902383757966,strong,0.9982463952553218,0.0034249335070061,strong,0.997137932092776,0.002862067907224,trending,0.3829366875886574,0.475975426344685,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
104163,0.845232556159012,0.1906824709893447,high,0.735306043226223,0.3276582084379754,strong,0.99729598661885,0.0033386344214229,strong,1.0,0.0,trending,0.3265342223660851,0.4104954496391406,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
110575,0.8349068202844663,0.3301863594310676,high,0.8313728741493914,0.3372542517012169,strong,0.9523714796413952,0.0952570407172096,strong,1.0,0.0,trending,0.1578611096728179,0.3157222193456354,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
106609,0.8286108419130604,0.2102316985154651,high,0.95638179174349,0.054074732775012,strong,0.8271158558847876,0.2123546406998736,strong,0.9817565361355356,0.0182434638644644,trending,0.3061064177626162,0.3866915236837812,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
107805,0.8285843058898248,0.2105534164908412,high,0.7115706092269978,0.356043837796344,strong,0.9957599285377244,0.0068293167166464,strong,0.9580320157652328,0.0419679842347673,trending,0.2147005618937921,0.2688136877006734,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
111815,0.8281621229149083,0.2109337238161379,high,0.9653406491824768,0.0476048976897763,strong,0.9349882020945982,0.0857060673455343,strong,1.0,0.0,trending,0.4171164725191293,0.5108617435851669,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
109478,0.8279477507787236,0.2109367946938641,high,0.9607024273964452,0.0482754697202353,strong,0.8173236961046058,0.2270513874674208,strong,0.9392746873846636,0.0156827557381165,trending,0.3020337773164071,0.3701476899851684,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
106232,0.8278456090680318,0.3443087818639363,high,0.8264869521504459,0.3470260956991083,strong,0.9062159342971016,0.187568131405797,strong,1.0,0.0,trending,0.1062389595086031,0.2124779190172059,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
110835,0.827557176572375,0.213174512354842,high,0.792571399981236,0.2640119976362076,strong,0.9946018143105292,0.0072580671632155,strong,1.0,0.0,trending,0.5359571907726715,0.6565019198473977,moderate,0.0,0.0,complete,0,HIGH_HIGH_HIGH
107297,0.8274026861456457,0.2119646147385033,high,0.9548612647501576,0.055970337119924,strong,0.8436179808613818,0.1922888549326229,strong,0.9380498439874672,0.0470829046534817,trending,0.2727201705588725,0.3361981560353149,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
107775,0.8265818164197141,0.3468363671605718,high,0.8109619781972338,0.3780760436055323,strong,0.942941912034808,0.1141161759303842,strong,1.0,0.0,trending,0.2319470413618926,0.4638940827237848,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
109923,0.8261736313681854,0.2130687273274532,high,0.9635130848870952,0.0455308568980171,strong,0.9891862580418508,0.0136675347505233,strong,1.0,0.0,trending,0.4919565102186242,0.6164697597421042,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
109915,0.8261188509790773,0.2131220654774817,high,0.9553362142382392,0.056663514869181,strong,0.9863774675685476,0.0176456976660936,strong,1.0,0.0,trending,0.4772936173064174,0.604401836768082,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
107804,0.8258402480558434,0.2142096586471703,high,0.6609624629529858,0.4235803874123894,strong,0.9853268023503092,0.0239329913395393,strong,0.9587560290300504,0.0412439709699495,trending,0.1820127243881292,0.2450735967219962,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
108669,0.8258010759045333,0.2135688879270024,high,0.96057694791879,0.0483396099828277,strong,0.8703571828809593,0.1591060589927682,strong,0.999590408717174,0.0004095912828259,trending,0.3411276933896306,0.4209304197387777,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
100388,0.8244168807901311,0.2154821280300598,high,0.902541416014851,0.1470233276088513,strong,0.962647814719454,0.0632094453955448,strong,1.0,0.0,trending,0.5323353766124195,0.6694297714708173,moderate,0.0,0.0,complete,0,HIGH_HIGH_HIGH
110463,0.8242718872627386,0.2242945961022255,high,0.8273331916634209,0.2494705465686446,strong,0.9433226822948784,0.1055431590080475,strong,1.0,0.0,trending,0.5502286212571513,0.7666987603665018,moderate,0.0,0.0,complete,0,HIGH_HIGH_HIGH
108497,0.8233834964577185,0.2165168628812611,high,0.961748204357882,0.0491736153819643,strong,0.9401684489560556,0.0821766225215909,strong,1.0,0.0,trending,0.3829694429003352,0.4730799886240788,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
109814,0.8229291955810624,0.2170640456274483,high,0.9548085907092948,0.0556448391935648,strong,0.8281380346232868,0.2163593451438187,strong,0.9499333210582194,0.0500666789417806,trending,0.2870990770543458,0.3565088037341448,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
105228,0.8227154612030587,0.2282123757334618,high,0.9092851617432912,0.1645379991875635,strong,0.9903499365932492,0.0135285784917622,strong,1.0,0.0,trending,0.3855276049592325,0.5911936704042243,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
107149,0.8221669467677474,0.22114733384114,high,0.8273586989951761,0.3452822687579271,strong,0.9853982647619952,0.0292034687630203,strong,0.9943990579691212,0.0056009420308788,trending,0.5927209728279638,0.9403922099007752,moderate,0.0,0.0,complete,0,HIGH_HIGH_HIGH
108495,0.8216896919291242,0.2183917150225198,high,0.8308774056509349,0.2824370585093582,strong,0.9158872124398528,0.1207789192630077,strong,1.0,0.0,trending,0.3152496646859771,0.3946899591255281,stable,0.0,0.0,complete,0,HIGH_HIGH_HIGH
